VC_Firm,Health_Care_India_Investments,Focus
Inflection Point Ventures,31,"Healthtech, Consumer Health"
IAN Group,29,"Healthtech, Consumer Health"
Fireside Ventures,28,"Healthtech, Consumer Health"
Titan Capital,26,"Healthtech, Consumer Health"
Society for Innovation and Entrepreneurship,24,"Healthtech, Consumer Health"
DSG Consumer Partners,20,"Healthtech, Consumer Health"
3one4 Capital,18,"Healthtech, Consumer Health"
LVX Ventures,18,"Healthtech, Consumer Health"
Mumbai Angels,17,"Healthtech, Consumer Health"
Peak XV Partners,16,"Healthtech, Consumer Health"
Better Capital,16,"Healthtech, Consumer Health"
Endiya Partners,15,"Healthtech, Consumer Health"
1Crowd,15,"Healthtech, Consumer Health"
Singapore Angel Network,14,"Healthtech, Consumer Health"
Cloud Capital,13,"Healthtech, Consumer Health"
Blume Ventures,12,"Healthtech, Consumer Health"
Accel,12,"Healthtech, Consumer Health"
GSF,12,"Healthtech, Consumer Health"
Orios Venture Partners,12,"Healthtech, Consumer Health"
Ankur Capital,11,"Healthtech, Consumer Health"
